2025-10-28 13:01:40.199 | INFO     | main:<module>:101 - ✅ 已建立新集合 'pais_knowledge_base'
2025-10-28 13:01:40.224 | INFO     | main:startup_event:609 - 🚀 PAIS 系統啟動 (LangChain Powered)
2025-10-28 13:01:40.225 | INFO     | main:startup_event:610 - 📍 Qdrant: qdrant:6333
2025-10-28 13:01:40.225 | INFO     | main:startup_event:611 - 📚 集合: pais_knowledge_base
2025-10-28 13:01:40.226 | INFO     | main:startup_event:612 - 🤖 Agents: 3 工具
2025-10-28 13:01:40.226 | INFO     | main:startup_event:613 - 🧠 Memory: ConversationBufferMemory
2025-10-28 13:01:50.867 | INFO     | main:ingest_documents:473 - 📚 開始處理 38 個檔案
2025-10-28 13:01:50.869 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/張善政個人資料.docx: No module named 'docx2txt'
2025-10-28 13:01:50.872 | INFO     | main:load_document:273 - ✅ 載入: documents/張善政個人資料.txt (1 文件)
2025-10-28 13:01:50.875 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/敏感詞與禁止內容清單.docx: No module named 'docx2txt'
2025-10-28 13:01:50.878 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20230322第一次施政報告.docx: No module named 'docx2txt'
2025-10-28 13:01:50.880 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20230322第一次施政報告.txt (1 文件)
2025-10-28 13:01:50.883 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20231011第二次施政報告.docx: No module named 'docx2txt'
2025-10-28 13:01:50.886 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20231011第二次施政報告.txt (1 文件)
2025-10-28 13:01:50.888 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20240329第三次施政報告.docx: No module named 'docx2txt'
2025-10-28 13:01:50.892 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20240329第三次施政報告.txt (1 文件)
2025-10-28 13:01:50.894 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20240930第四次施政報告.docx: No module named 'docx2txt'
2025-10-28 13:01:50.897 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20240930第四次施政報告.txt (1 文件)
2025-10-28 13:01:50.899 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20250408第五次施政報告.docx: No module named 'docx2txt'
2025-10-28 13:01:50.902 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20250408第五次施政報告.txt (1 文件)
2025-10-28 13:01:50.905 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20251008第六次施政報告.docx: No module named 'docx2txt'
2025-10-28 13:01:50.908 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20251008第六次施政報告.txt (1 文件)
2025-10-28 13:01:50.911 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/張善政競選桃園市長政見.docx: No module named 'docx2txt'
2025-10-28 13:01:50.913 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/張善政競選桃園市長政見.txt (1 文件)
2025-10-28 13:01:50.916 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20120517台灣雲端計算的迷思與挑戰.txt (1 文件)
2025-10-28 13:01:50.919 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20180309大數據的時代下，你我該如何面對.txt (1 文件)
2025-10-28 13:01:50.921 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20190108台灣的農業出路：張善政與台大生傳EMBA演講與互動.txt (1 文件)
2025-10-28 13:01:50.924 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20190522張善政新書「做事的人」發表會.txt (1 文件)
2025-10-28 13:01:50.927 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20191220張善政推動數位社會 再問蔡賴配如何解決兩岸關係－民視新聞.txt (1 文件)
2025-10-28 13:01:50.929 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20200612國家衛生研究院生物醫學學術演討會大會特別演講.docx: No module named 'docx2txt'
2025-10-28 13:01:50.931 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20200612國家衛生研究院生物醫學學術演討會大會特別演講.txt (1 文件)
2025-10-28 13:01:50.934 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20210529挑戰與危機給我的淬煉.docx: No module named 'docx2txt'
2025-10-28 13:01:50.936 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20210529挑戰與危機給我的淬煉.txt (1 文件)
2025-10-28 13:01:50.938 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20221027綠爆任「數字王國」批陸資 張善政還原經過再嗆「這句」：目光如豆 沒國際視野 @ChinaTimes.docx: No module named 'docx2txt'
2025-10-28 13:01:50.941 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20221027綠爆任「數字王國」批陸資 張善政還原經過再嗆「這句」：目光如豆 沒國際視野 @ChinaTimes.txt (1 文件)
2025-10-28 13:01:50.944 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20230905人本交通與城市發展.docx: No module named 'docx2txt'
2025-10-28 13:01:50.947 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20230905人本交通與城市發展.txt (1 文件)
2025-10-28 13:01:50.949 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20241225張善政向賴總統提建議.docx: No module named 'docx2txt'
2025-10-28 13:01:50.952 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20241225張善政向賴總統提建議.txt (1 文件)
2025-10-28 13:01:50.954 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20250601中央大學畢業典禮致詞.docx: No module named 'docx2txt'
2025-10-28 13:01:50.958 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20250601中央大學畢業典禮致詞.txt (1 文件)
2025-10-28 13:01:50.960 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20251007張善政現身挖土機超人靈堂 .txt (1 文件)
2025-10-28 13:01:50.963 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20251007張善政現身挖土機超人靈堂_.docx: No module named 'docx2txt'
2025-10-28 13:01:50.965 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20251010桃園國慶升旗.docx: No module named 'docx2txt'
2025-10-28 13:01:50.967 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20251010桃園國慶升旗.txt (1 文件)
2025-10-28 13:01:50.976 | INFO     | main:ingest_documents:494 - 📄 分割完成: 140 個片段
2025-10-28 13:02:43.174 | INFO     | main:ingest_documents:498 - ✅ 向量化完成
2025-10-28 13:07:43.992 | INFO     | main:chat:354 - 💬 [user_1761594695328_0abijzwq3] 問題: 你好
2025-10-28 13:07:43.994 | INFO     | main:get_memory:122 - 🧠 建立新記憶: user_1761594695328_0abijzwq3
2025-10-28 13:08:14.408 | ERROR    | main:chat:399 - ❌ 對話錯誤: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-10-28 15:39:42.372 | INFO     | main:shutdown_event:621 - ⏹ PAIS 系統關閉
